Pathway Groups,flux_slow,flux_fast,flux_difference
2-oxocarboxylic Acid Metabolism,24.0043819538287,24.772428017740605,0.7680460639119033
"AA central (Ala/Asp/Glu, Gly/Ser/Thr)",70.98349491816631,72.03296656462454,1.0494716464582297
AA other,1.3110170128792267,1.5166979056045369,0.2056808927253102
Arginine And Proline Metabolism,0.13193908226109088,0.1181419701635898,-0.01379711209750109
BCAA metabolism (Val/Leu/Iso),0.6195933392892934,0.562775554559395,-0.0568177847298984
Biomass And Maintenance Functions,18.528007616906937,18.53368523987892,0.005677622971983709
Central Energy Metabolism,113.07739979683592,114.21277373025036,1.1353739334144421
Cyanoamino Acid Metabolism,0.0029527174327289,0.003089491697822,0.0001367742650930999
Extracellular Transport,22.477578860475326,22.768713446361296,0.2911345858859704
Fatty Acid Elongation,0.0,0.0152165034026855,0.0152165034026855
Folate metabolism,2.6834058517104324,2.8942778805868876,0.21087202887645518
Glyoxylate And Dicarboxylate Metabolism,0.7725293912412622,0.762022370200291,-0.010507021040971232
Histidine Metabolism,0.019700673094856,0.0199999999995272,0.0002993269046712016
Lipid metabolism,0.33522673773027534,0.47926544799232856,0.14403871026205323
Lysine Biosynthesis,0.0075328026090135,0.0242763339369409,0.0167435313279274
Lysine Metabolism,0.037664013045067404,0.1213816696847045,0.0837176566396371
Methane Metabolism,19.949485980704043,19.938784132972266,-0.010701847731777292
Mitochondrial transport,97.48994157825827,101.31296197575864,3.823020397500372
Nitrogen disposal,25.15120187332988,25.608219905784047,0.4570180324541653
Nucleotide Salvage Pathway,0.0204132675597699,0.0245513860300325,0.004138118470262599
Nucleotide metabolism,21.3757173704132,21.637874098293157,0.26215672787995814
Oxidative Phosphorylation,26.287075942872736,27.47710989440969,1.1900339515369538
Pantothenate And Coa Biosynthesis,0.0215468379233082,0.015778895325084,-0.005767942598224201
Phenylalanine Metabolism,20.44667028348172,21.123682538597873,0.6770122551161535
"Phenylalanine, Tyrosine And Tryptophan Biosynthesis",20.44667028348172,21.123682538597873,0.6770122551161535
Propanoate Metabolism,1.4734557960586159,1.4945846708760846,0.021128874817468724
Purine Catabolism,1.1094206647250076,1.173919024513353,0.0644983597883455
Redox & Pentose Metabolism,5.0868340312450195,5.164996337014608,0.07816230576958816
Sphingolipid Metabolism,0.002996815009042,0.0036043206670445,0.0006075056580025001
Starch And Sucrose Metabolism,5.0014388072957425,5.001730478143059,0.0002916708473161833
Taurine And Hypotaurine Metabolism,0.6323031814014588,0.7019020107484933,0.06959882934703454
Terpenoid Backbone Biosynthesis,0.015065605218027,0.0333361644711963,0.018270559253169297
"Transport, Endoplasmic Reticulum",0.024564248453930196,0.0682342657571625,0.043670017303232306
"Transport, Nuclear",0.0039210663669708,0.004715933581912,0.0007948672149411997
Unknown,34.06752523784045,34.410142068432606,0.3426168305921564
Vitamin C Metabolism,0.0672580881854782,0.0699779641947752,0.0027198760092970037
